Name,Industry,Website,BillingCountry,BillingStreet,Segment__c,Description
Google Germany GmbH,,,,,bulk,
Industrieanlagen- Betriebsgesellschaft mbH,,,,,bulk,
Rowan Veterinary Centre,,,,,bulk,
color run 2025,,,,,bulk,
"Family Fun Centers, Tukwila LLC",,,,,bulk,
SHAMAN-LABS,,,,,bulk,
Steinäcker-Schule,,,,,bulk,
INFORM - Institut für Operations Research und Management GmbH,,,,,bulk,
Abubakar,,,,,bulk,
Cicatrice,,,,,bulk,
Detailverliebt Design Studio,,,,,bulk,
Miniatur Wunderland Hamburg GmbH,,,,,bulk,
Partner EU 1016311,,,,,bulk,SF-Deal-ID: 0062000000H4oBIAAZ | Partner-ID: 1016311
Partner EU 111448977,,,,,bulk,SF-Deal-ID: 0062000000j5MAXAA2 | Partner-ID: 111448977
Partner EU 111629852,,,,,bulk,SF-Deal-ID: 0062000000j5yGaAAI | Partner-ID: 111629852
Partner EU 112066957,,,,,bulk,SF-Deal-ID: 0062000000jXmeYAAS | Partner-ID: 112066957
Partner EU 112400039,,,,,bulk,SF-Deal-ID: 0062000000lZd7oAAC | Partner-ID: 112400039
Partner EU 112436426,,,,,bulk,SF-Deal-ID: 0060J00000mtgDeQAI | Partner-ID: 112436426
Partner EU 1168619,,,,,bulk,SF-Deal-ID: 0062000000H4o10AAB | Partner-ID: 1168619
Partner EU 1205654,,,,,bulk,SF-Deal-ID: 0062000000H4oCQAAZ | Partner-ID: 1205654
Partner EU 1210226,,,,,bulk,SF-Deal-ID: 0062000000H4oJKAAZ | Partner-ID: 1210226
Partner EU 1409603,,,,,bulk,SF-Deal-ID: 0062000000H4oBRAAZ | Partner-ID: 1409603
Partner EU 1474886,,,,,bulk,SF-Deal-ID: 0062000000H4o4eAAB | Partner-ID: 1474886
Partner EU 1490478,,,,,bulk,SF-Deal-ID: 0062000000H4oFHAAZ | Partner-ID: 1490478
Partner EU 149141,,,,,bulk,SF-Deal-ID: 0062000000H4oGAAAZ | Partner-ID: 149141
Partner EU 1519501,,,,,bulk,SF-Deal-ID: 0062000000H4o6fAAB | Partner-ID: 1519501
Partner EU 162276,,,,,bulk,SF-Deal-ID: 0062000000H4o0OAAR | Partner-ID: 162276
Partner EU 1689745,,,,,bulk,SF-Deal-ID: 0062000000H4oFvAAJ | Partner-ID: 1689745
Partner EU 1751551,,,,,bulk,SF-Deal-ID: 0062000000H4oBrAAJ | Partner-ID: 1751551
Partner EU 1800238,,,,,bulk,SF-Deal-ID: 0062000000H4oGEAAZ | Partner-ID: 1800238
Partner EU 1828297,,,,,bulk,SF-Deal-ID: 0062000000kOGPvAAO | Partner-ID: 1828297
Partner EU 1853315,,,,,bulk,SF-Deal-ID: 0062000000H4oHjAAJ | Partner-ID: 1853315
Partner EU 1943497,,,,,bulk,SF-Deal-ID: 0062000000IbCfJAAV | Partner-ID: 1943497
Partner EU 199996,,,,,bulk,SF-Deal-ID: 0062000000HieF9AAJ | Partner-ID: 199996
Partner EU 204856,,,,,bulk,SF-Deal-ID: 0062000000H4o02AAB | Partner-ID: 204856
Partner EU 2105644,,,,,bulk,SF-Deal-ID: 0062000000LB0nqAAD | Partner-ID: 2105644
Partner EU 2117448,,,,,bulk,SF-Deal-ID: 0062000000H4o9kAAB | Partner-ID: 2117448
Partner EU 2128038,,,,,bulk,SF-Deal-ID: 0062000000Qu8wIAAR | Partner-ID: 2128038
Partner EU 2134897,,,,,bulk,SF-Deal-ID: 0062000000cx5ldAAA | Partner-ID: 2134897
Partner SF 00620000,,,,,bulk,SF-Deal-ID: 0062000000H4oATAAZ | Partner-ID: 00620000
Partner EU 2241075,,,,,bulk,SF-Deal-ID: 0062000000H4oBfAAJ | Partner-ID: 2241075
Partner EU 2286205,,,,,bulk,SF-Deal-ID: 0062000000H4oBWAAZ | Partner-ID: 2286205
Partner EU 230296,,,,,bulk,SF-Deal-ID: 0062000000H4o2SAAR | Partner-ID: 230296
Partner EU 2421351,,,,,bulk,SF-Deal-ID: 0062000000H4oERAAZ | Partner-ID: 2421351
Partner EU 2426667,,,,,bulk,SF-Deal-ID: 0062000000WKev1AAD | Partner-ID: 2426667
Partner EU 2513874,,,,,bulk,SF-Deal-ID: 0062000000eqG9YAAU | Partner-ID: 2513874
Partner EU 2517734,,,,,bulk,SF-Deal-ID: 0062000000HjXj0AAF | Partner-ID: 2517734
Partner EU 2584096,,,,,bulk,SF-Deal-ID: 0062000000H4oJRAAZ | Partner-ID: 2584096
Partner EU 264158,,,,,bulk,SF-Deal-ID: 0062000000H4o17AAB | Partner-ID: 264158
Partner EU 2738804,,,,,bulk,SF-Deal-ID: 0062000000H4oGmAAJ | Partner-ID: 2738804
Partner EU 2752202,,,,,bulk,SF-Deal-ID: 0062000000H4oKmAAJ | Partner-ID: 2752202
Partner EU 2788547,,,,,bulk,SF-Deal-ID: 0062000000H4oKtAAJ | Partner-ID: 2788547
Partner EU 2866244,,,,,bulk,SF-Deal-ID: 0062000000KFLJjAAP | Partner-ID: 2866244
Partner NA 1124524,,,,,bulk,SF-Deal-ID: 0062000000fFVLzAAO | Partner-ID: 1124524
Partner EU 2930607,,,,,bulk,SF-Deal-ID: 0062000000H4oLFAAZ | Partner-ID: 2930607
Partner EU 2944439,,,,,bulk,SF-Deal-ID: 0062000000H4oKDAAZ | Partner-ID: 2944439
Partner EU 3068373,,,,,bulk,SF-Deal-ID: 0062000000LCsZlAAL | Partner-ID: 3068373
Partner EU 3187834,,,,,bulk,SF-Deal-ID: 0062000000HjhwmAAB | Partner-ID: 3187834
Partner EU 3346198,,,,,bulk,SF-Deal-ID: 0062000000VgyRGAAZ | Partner-ID: 3346198
Partner EU 3392922,,,,,bulk,SF-Deal-ID: 0062000000JROtvAAH | Partner-ID: 3392922
Partner EU 355278,,,,,bulk,SF-Deal-ID: 0062000000H4nzuAAB | Partner-ID: 355278
Partner EU 3615667,,,,,bulk,SF-Deal-ID: 0062000000IeIyWAAV | Partner-ID: 3615667
Partner EU 3643598,,,,,bulk,SF-Deal-ID: 0062000000IeF2lAAF | Partner-ID: 3643598
Partner EU 3695708,,,,,bulk,SF-Deal-ID: 0062000000PQHkIAAX | Partner-ID: 3695708
Partner EU 3769293,,,,,bulk,SF-Deal-ID: 0062000000QQi97AAD | Partner-ID: 3769293
Partner EU 3859849,,,,,bulk,SF-Deal-ID: 0062000000NGOWoAAP | Partner-ID: 3859849
Partner EU 3863248,,,,,bulk,SF-Deal-ID: 0062000000KGO2eAAH | Partner-ID: 3863248
Partner EU 4043504,,,,,bulk,SF-Deal-ID: 0062000000KHJoKAAX | Partner-ID: 4043504
Partner EU 4048514,,,,,bulk,SF-Deal-ID: 0062000000UsvCdAAJ | Partner-ID: 4048514
Partner EU 413936,,,,,bulk,SF-Deal-ID: 0062000000H4oJIAAZ | Partner-ID: 413936
Partner EU 41985,,,,,bulk,SF-Deal-ID: 0062000000H4o47AAB | Partner-ID: 41985
Partner EU 4242865,,,,,bulk,SF-Deal-ID: 0062000000MSld8AAD | Partner-ID: 4242865
Partner EU 4257051,,,,,bulk,SF-Deal-ID: 0062000000M2p3yAAB | Partner-ID: 4257051
Partner EU 4390429,,,,,bulk,SF-Deal-ID: 0062000000NG9bZAAT | Partner-ID: 4390429
Partner NA 5358,,,,,bulk,SF-Deal-ID: 0062000000H4o6SAAR | Partner-ID: 5358
Partner NA 2212856,,,,,bulk,SF-Deal-ID: 0062000000NK7XZAA1 | Partner-ID: 2212856
Partner EU 4803586,,,,,bulk,SF-Deal-ID: 0062000000Vh1tBAAR | Partner-ID: 4803586
Partner EU 4963223,,,,,bulk,SF-Deal-ID: 0062000000Tw7brAAB | Partner-ID: 4963223
Partner EU 4995581,,,,,bulk,SF-Deal-ID: 0062000000M3LD0AAN | Partner-ID: 4995581
Partner EU 5075169,,,,,bulk,SF-Deal-ID: 0062000000QOIYhAAP | Partner-ID: 5075169
Partner EU 5234434,,,,,bulk,SF-Deal-ID: 0062000000QPWW0AAP | Partner-ID: 5234434
Partner EU 5324411,,,,,bulk,SF-Deal-ID: 0062000000S1qBeAAJ | Partner-ID: 5324411
Partner EU 5365937,,,,,bulk,SF-Deal-ID: 0062000000QPuXWAA1 | Partner-ID: 5365937
Partner EU 569505,,,,,bulk,SF-Deal-ID: 0062000000KE9NaAAL | Partner-ID: 569505
Partner EU 5716224,,,,,bulk,SF-Deal-ID: 0062000000Ur1yAAAR | Partner-ID: 5716224
Partner EU 5806515,,,,,bulk,SF-Deal-ID: 0062000000Su5xDAAR | Partner-ID: 5806515
Partner EU 58892,,,,,bulk,SF-Deal-ID: 0062000000H4o79AAB | Partner-ID: 58892
Partner EU 5995801,,,,,bulk,SF-Deal-ID: 0062000000TuhuvAAB | Partner-ID: 5995801
Partner EU 607247,,,,,bulk,SF-Deal-ID: 0062000000H4oE8AAJ | Partner-ID: 607247
Partner EU 610256,,,,,bulk,SF-Deal-ID: 0062000000HkPakAAF | Partner-ID: 610256
Partner EU 618065,,,,,bulk,SF-Deal-ID: 0062000000H4oFUAAZ | Partner-ID: 618065
Partner EU 6221287,,,,,bulk,SF-Deal-ID: 0062000000Ur3OlAAJ | Partner-ID: 6221287
Partner EU 6306361,,,,,bulk,SF-Deal-ID: 0062000000Vh0HTAAZ | Partner-ID: 6306361
Partner EU 6805618,,,,,bulk,SF-Deal-ID: 0062000000WLLBNAA5 | Partner-ID: 6805618
Partner EU 7159671,,,,,bulk,SF-Deal-ID: 0062000000XGCInAAP | Partner-ID: 7159671
Partner EU 730507,,,,,bulk,SF-Deal-ID: 0062000000HkPSCAA3 | Partner-ID: 730507
Partner EU 7669575,,,,,bulk,SF-Deal-ID: 0062000000j5P8VAAU | Partner-ID: 7669575
Partner NA 307992,,,,,bulk,SF-Deal-ID: 0062000000H4o1nAAB | Partner-ID: 307992
Partner EU 8121038,,,,,bulk,SF-Deal-ID: 0062000000aaqttAAA | Partner-ID: 8121038
Partner EU 827294,,,,,bulk,SF-Deal-ID: 0062000000H4oDuAAJ | Partner-ID: 827294
Partner EU 8552367,,,,,bulk,SF-Deal-ID: 0062000000lDW6UAAW | Partner-ID: 8552367
Partner EU 865287,,,,,bulk,SF-Deal-ID: 0062000000H4o3IAAR | Partner-ID: 865287
Partner EU 870148,,,,,bulk,SF-Deal-ID: 0062000000IcsMWAAZ | Partner-ID: 870148
Partner EU 909007,,,,,bulk,SF-Deal-ID: 0062000000H4o57AAB | Partner-ID: 909007
Partner EU 952523,,,,,bulk,SF-Deal-ID: 0062000000H4o5iAAB | Partner-ID: 952523
Partner EU 968121,,,,,bulk,SF-Deal-ID: 0062000000H4o4vAAB | Partner-ID: 968121
Partner EU 114218675,,,,,bulk,SF-Deal-ID: 0060J00000pXq6QQAS | Partner-ID: 114218675
Partner EU 114551458,,,,,bulk,SF-Deal-ID: 0060J00000qZ1qsQAC | Partner-ID: 114551458
Partner EU 1081163,,,,,bulk,SF-Deal-ID: 0062000000H4nzTAAR | Partner-ID: 1081163
Partner EU 112360333,,,,,bulk,SF-Deal-ID: 0062000000kNt8uAAC | Partner-ID: 112360333
Partner EU 149826,,,,,bulk,SF-Deal-ID: 0062000000H4nzHAAR | Partner-ID: 149826
Partner EU 17343,,,,,bulk,SF-Deal-ID: 0062000000H4o1sAAB | Partner-ID: 17343
Partner EU 1745484,,,,,bulk,SF-Deal-ID: 0062000000lZGTNAA4 | Partner-ID: 1745484
Partner EU 2492846,,,,,bulk,SF-Deal-ID: 0062000000H4oMEAAZ | Partner-ID: 2492846
Partner EU 2754606,,,,,bulk,SF-Deal-ID: 0062000000H4oHlAAJ | Partner-ID: 2754606
Partner EU 3184022,,,,,bulk,SF-Deal-ID: 0062000000H4oMiAAJ | Partner-ID: 3184022
Partner EU 3271296,,,,,bulk,SF-Deal-ID: 0062000000H4oN8AAJ | Partner-ID: 3271296
Partner EU 3399266,,,,,bulk,SF-Deal-ID: 0062000000LCrxSAAT | Partner-ID: 3399266
Partner EU 3619018,,,,,bulk,SF-Deal-ID: 0062000000KHKI6AAP | Partner-ID: 3619018
Partner EU 3748321,,,,,bulk,SF-Deal-ID: 0062000000Qu3mpAAB | Partner-ID: 3748321
Partner EU 3856872,,,,,bulk,SF-Deal-ID: 0062000000KFvYiAAL | Partner-ID: 3856872
Partner EU 4246043,,,,,bulk,SF-Deal-ID: 0062000000MY36KAAT | Partner-ID: 4246043
Partner EU 4341045,,,,,bulk,SF-Deal-ID: 0062000000NJ9uJAAT | Partner-ID: 4341045
Partner EU 4390908,,,,,bulk,SF-Deal-ID: 0062000000NHTPIAA5 | Partner-ID: 4390908
Partner EU 4460304,,,,,bulk,SF-Deal-ID: 0062000000NJPDVAA5 | Partner-ID: 4460304
Partner EU 4685935,,,,,bulk,SF-Deal-ID: 0062000000XERpRAAX | Partner-ID: 4685935
Partner EU 4767291,,,,,bulk,SF-Deal-ID: 0062000000OO85JAAT | Partner-ID: 4767291
Partner EU 59525,,,,,bulk,SF-Deal-ID: 0062000000H4oIxAAJ | Partner-ID: 59525
Partner EU 6733314,,,,,bulk,SF-Deal-ID: 0062000000WLFTvAAP | Partner-ID: 6733314
Partner EU 1476677,,,,,bulk,SF-Deal-ID: 0062000000H4o9WAAR | Partner-ID: 1476677
Partner EU 2480545,,,,,bulk,SF-Deal-ID: 0062000000H4oDdAAJ | Partner-ID: 2480545
Partner EU 2584445,,,,,bulk,SF-Deal-ID: 0062000000LApCKAA1 | Partner-ID: 2584445
Partner EU 3530447,,,,,bulk,SF-Deal-ID: 0062000000JRKOyAAP | Partner-ID: 3530447
Partner EU 3660953,,,,,bulk,SF-Deal-ID: 0062000000JRs1hAAD | Partner-ID: 3660953
Partner EU 3859859,,,,,bulk,SF-Deal-ID: 0062000000KFQ4WAAX | Partner-ID: 3859859
Partner EU 533726,,,,,bulk,SF-Deal-ID: 0062000000H4o4NAAR | Partner-ID: 533726
Partner EU 615031,,,,,bulk,SF-Deal-ID: 0062000000H4oDcAAJ | Partner-ID: 615031
Partner EU 8522415,,,,,bulk,SF-Deal-ID: 0062000000dRlEzAAK | Partner-ID: 8522415
Partner EU 111667442,,,,,bulk,SF-Deal-ID: 0062000000iEva0AAC | Partner-ID: 111667442
Partner EU 2736118,,,,,bulk,SF-Deal-ID: 0062000000H4oITAAZ | Partner-ID: 2736118
Partner EU 2879495,,,,,bulk,SF-Deal-ID: 0062000000H4oIQAAZ | Partner-ID: 2879495
Partner EU 3318288,,,,,bulk,SF-Deal-ID: 0062000000H4oNVAAZ | Partner-ID: 3318288
Partner EU 3798282,,,,,bulk,SF-Deal-ID: 0062000000KF2PwAAL | Partner-ID: 3798282
Partner EU 4368161,,,,,bulk,SF-Deal-ID: 0062000000MZZznAAH | Partner-ID: 4368161
Partner EU 6287137,,,,,bulk,SF-Deal-ID: 0062000000ioaLDAAY | Partner-ID: 6287137
Partner EU 3547674,,,,,bulk,SF-Deal-ID: 0062000000HlOExAAN | Partner-ID: 3547674
Partner EU 3654813,,,,,bulk,SF-Deal-ID: 0062000000Ie2jZAAR | Partner-ID: 3654813
Partner EU 935472,,,,,bulk,SF-Deal-ID: 0062000000KFkEgAAL | Partner-ID: 935472
Partner EU 113824426,,,,,bulk,SF-Deal-ID: 0060J00000pNXdzQAG | Partner-ID: 113824426
Partner EU 114783773,,,,,bulk,SF-Deal-ID: 0060J00000pNbpQQAS | Partner-ID: 114783773
Partner EU 113013086,,,,,bulk,SF-Deal-ID: 0060J00000s6dTLQAY | Partner-ID: 113013086
Partner EU 8296862,,,,,bulk,SF-Deal-ID: 0060J00000sWyZcQAK | Partner-ID: 8296862
Partner SF 0060J000,,,,,bulk,SF-Deal-ID: 0060J00000rebuMQAQ | Partner-ID: 0060J000
Partner EU 4638562,,,,,bulk,SF-Deal-ID: 0062000000OLVC2AAP | Partner-ID: 4638562
Partner EU 114355883,,,,,bulk,SF-Deal-ID: 0060J00000rEvgJQAS | Partner-ID: 114355883
Partner EU 112666367,,,,,bulk,SF-Deal-ID: 0060J00000vwAOfQAM | Partner-ID: 112666367
Partner EU 114806078,,,,,bulk,SF-Deal-ID: 0060J00000qbQoxQAE | Partner-ID: 114806078
Partner EU 4867655,,,,,bulk,SF-Deal-ID: 0062000000ONUisAAH | Partner-ID: 4867655
Partner EU 115207109,,,,,bulk,SF-Deal-ID: 0060J00000pPKKcQAO | Partner-ID: 115207109
Partner EU 115897297,,,,,bulk,SF-Deal-ID: 0060J00000txGEpQAM | Partner-ID: 115897297
Partner EU 7617529,,,,,bulk,SF-Deal-ID: 0062000000WL87DAAT | Partner-ID: 7617529
Partner EU 116884843,,,,,bulk,SF-Deal-ID: 0060J00000vdb9oQAA | Partner-ID: 116884843
Partner EU 117226995,,,,,bulk,SF-Deal-ID: 0060J00000wcBDMQA2 | Partner-ID: 117226995
Partner EU 114011202,,,,,bulk,SF-Deal-ID: 0060J00000yFL37QAG | Partner-ID: 114011202
Partner EU 8607458,,,,,bulk,SF-Deal-ID: 0062000000fJrCZAA0 | Partner-ID: 8607458
Partner EU 8211553,,,,,bulk,SF-Deal-ID: 0062000000WNgVLAA1 | Partner-ID: 8211553
Partner EU 119268511,,,,,bulk,SF-Deal-ID: 0060J00001181NPQAY | Partner-ID: 119268511
Partner EU 3487743,,,,,bulk,SF-Deal-ID: 0060J000011fbSlQAI | Partner-ID: 3487743
Partner EU 113921538,,,,,bulk,SF-Deal-ID: 0060J00000odTLOQA2 | Partner-ID: 113921538
Partner EU 3057684,,,,,bulk,SF-Deal-ID: 0062000000H4oNLAAZ | Partner-ID: 3057684
Partner EU 116066848,,,,,bulk,SF-Deal-ID: 0066M000011iNv4QAE | Partner-ID: 116066848
Partner EU 113821813,,,,,bulk,SF-Deal-ID: 0060J00000lfzNWQAY | Partner-ID: 113821813
Partner EU 112653327,,,,,bulk,SF-Deal-ID: 0066M000011j5MaQAI | Partner-ID: 112653327
Partner EU 7219537,,,,,bulk,SF-Deal-ID: 0062000000lGJJTAA4 | Partner-ID: 7219537
Partner SF 0066M000,,,,,bulk,SF-Deal-ID: 0066M00001CKMCpQAP | Partner-ID: 0066M000
Partner EU 128305581,,,,,bulk,SF-Deal-ID: 0066M00001Fj1dwQAB | Partner-ID: 128305581
Blackscarfafc,,,,,bulk,SF-Opp: 0062000000UqIrtAAF | Partner-EU: 4234327 | Region: EU
Nueva Films,,,,,bulk,SF-Opp: 0062000000WNDPAAA5 | Partner-EU: 5554519 | Partner-NA: 4067124 | Region: EU+NA
VenturianTale,,,,,bulk,SF-Opp: 0062000000WOV4KAAX | Partner-EU: 7099633 | Partner-NA: 3961271 | Region: EU+NA
Karen Addison Associates / Thelwell,,,,,bulk,SF-Opp: 0062000000aAsE5AAK | Partner-EU: 8315424 | Partner-NA: 5287531 | Region: EU+NA
Janosch film & medien AG,,,,,bulk,SF-Opp: 0062000000cAfa9AAC | Partner-EU: 8443384 | Region: EU
Totally Awesome Fishing,,,,,bulk,SF-Opp: 0062000000dSt4XAAS | Partner-NA: 5456856 | Region: NA
Threema,,,,,bulk,SF-Opp: 0062000000g1kguAAA | Partner-EU: 8556362 | Region: EU
Blackmill,,,,,bulk,SF-Opp: 0062000000SvdMiAAJ | Partner-EU: 5581642 | Region: EU
Travian Games,,,,,bulk,SF-Opp: 0062000000eG8D6AAK | Partner-EU: 8553519 | Region: EU
STARPATROL Entertainment / Dodokay,,,,,bulk,SF-Opp: 0062000000cnRCIAA2 | Partner-EU: 112047824 | Region: EU
Kristoffer Clausen,,,,,bulk,SF-Opp: 0062000000Tvb7kAAB | Partner-EU: 6006548 | Region: EU
Swemix Aktiebolag,,,,,bulk,SF-Opp: 0062000000VgsQBAAZ | Partner-EU: 6654113 | Region: EU
Trikk17,,,,,bulk,SF-Opp: 0060J0000117fLJQAY | Partner-EU: 118276555 | Region: EU
Edel Germany GmbH - Wunderwelt,,,,,bulk,SF-Opp: 0060J00000o2tKTQAY | Partner-EU: 111741861 | Region: EU
VDBrands GmbH,,,,,bulk,SF-Opp: 0060J0000116gNYQAY | Partner-EU: 119387066 | Region: EU
ZDF Enterprises GmbH,,,,,bulk,SF-Opp: 0060J00000lfzIbQAI | Partner-EU: 113739089 | Region: EU
