Name,Account Name,Amount,Probability,CloseDate,Description
Partner EU 113821813,Partner EU 113821813,331.15,100,2023-12-31,SF-Opp: 0060J00000lfzNWQAY | Partner-EU: 113821813 | Region: EU
Partner EU 112653327,Partner EU 112653327,26416.62,100,2024-02-29,SF-Opp: 0066M000011j5MaQAI | Partner-EU: 112653327 | Region: EU
Edel Germany GmbH - Wunderwelt,Edel Germany GmbH - Wunderwelt,236.88,100,2023-12-31,SF-Opp: 0060J00000o2tKTQAY | Partner-EU: 111741861 | Region: EU
Partner EU 7219537,Partner EU 7219537,185.36,100,2023-05-31,SF-Opp: 0062000000lGJJTAA4 | Partner-EU: 7219537 | Region: EU
VDBrands GmbH,VDBrands GmbH,1883.73,100,2024-02-29,SF-Opp: 0060J0000116gNYQAY | Partner-EU: 119387066 | Region: EU
Partner SF 0066M000,Partner SF 0066M000,59303.45,100,2024-02-29,SF-Opp: 0066M00001CKMCpQAP | Region: NA
Partner EU 128305581,Partner EU 128305581,194.90,100,2023-12-31,SF-Opp: 0066M00001Fj1dwQAB | Partner-EU: 128305581 | Region: EU
ZDF Enterprises GmbH,ZDF Enterprises GmbH,7.55,100,2023-06-30,SF-Opp: 0060J00000lfzIbQAI | Partner-EU: 113739089 | Region: EU
bianca de paula A Artistry Flow,bianca de paula A Artistry Flow,,75,2026-03-16 00:00:00,
Elliot Schiro the_dandlion_§hop,Elliot Schiro the_dandlion_§hop,,75,2026-03-16 00:00:00,
